origin,lien,s_human,p_human,o_human,p_category,separation,s_original,p_original,o_original
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,métadonnées administratives,"""2015-09-29T12:55:22""",METADONNEES,,http://www.idref.fr/028885449,http://purl.org/dc/terms/modified,"""2015-09-29T12:55:22""^^<http://www.w3.org/2001/XMLSchema#dateTime"
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Person,CATEGORISATION,,http://www.idref.fr/028885449/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,FRBNF,"""12062835"" .",IDENTIFIANT,,http://www.idref.fr/028885449/id,http://data.bnf.fr/ontology/bnf-onto/FRBNF,"""12062835"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,identique à,0000000107980513,IDENTIFIANT,,http://www.idref.fr/028885449/id,http://www.w3.org/2002/07/owl#sameAs,http://isni.org/isni/0000000107980513
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,identique à,foaf:Person,IDENTIFIANT,,http://www.idref.fr/028885449/id,http://www.w3.org/2002/07/owl#sameAs,http://data.bnf.fr/ark:/12148/cb120628351#foaf:Person
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,ISNI ID,"""0000000107980513"" .",IDENTIFIANT,,http://www.idref.fr/028885449/id,http://isni.org/ontology#identifierValid,"""0000000107980513"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,label préféré,"""Carton de Wiart, Henry (1869-1951)"" .",APPELLATION,,http://www.idref.fr/028885449/id,http://www.w3.org/2004/02/skos/core#prefLabel,"""Carton de Wiart, Henry (1869-1951)"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,autres labels,"""Wiart, Henry Carton de"" .",APPELLATION,,http://www.idref.fr/028885449/id,http://www.w3.org/2004/02/skos/core#altLabel,"""Wiart, Henry Carton de"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,autres labels,"""Wiart, Henri Carton de"" .",APPELLATION,,http://www.idref.fr/028885449/id,http://www.w3.org/2004/02/skos/core#altLabel,"""Wiart, Henri Carton de"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,autres labels,"""Carton de Wiart, Henri"" .",APPELLATION,,http://www.idref.fr/028885449/id,http://www.w3.org/2004/02/skos/core#altLabel,"""Carton de Wiart, Henri"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,nom,"""Carton de Wiart, Henry"" .",APPELLATION,,http://www.idref.fr/028885449/id,http://xmlns.com/foaf/0.1/name,"""Carton de Wiart, Henry"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citoyen de,kingdom-of-belgium,LOCALISATION,,http://www.idref.fr/028885449/id,http://dbpedia.org/ontology/citizenship,http://sws.geonames.org/2802361
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,langue maternelle,fra,DIVERS,,http://www.idref.fr/028885449/id,http://purl.org/dc/terms/language,http://lexvo.org/id/iso639-3/fra
idref-sudoc,https://www.idref.fr/028885449,_:genid1,date de naissance,"""1869-01-31"" .",DATES,,_:genid1,http://purl.org/vocab/bio/0.1/date,"""1869-01-31"" ."
idref-sudoc,https://www.idref.fr/028885449,_:genid2,date de décès,"""1951-05-06"" .",DATES,,_:genid2,http://purl.org/vocab/bio/0.1/date,"""1951-05-06"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/124109667/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Cérémonie organisée en l'honneur de MM. Gaston Doumergue et Henri Carton de Wiart,... à Paris, le mardi 10 juillet 1934  [Texte imprimé]  / Discours de M. Emile Borel,...  ; Institut de France / Paris : Gauthier-Villars , 1937"" .",METADONNEES,,http://www.sudoc.fr/124109667/id,http://purl.org/dc/terms/bibliographicCitation,"""C\u00E9r\u00E9monie organis\u00E9e en l'honneur de MM. Gaston Doumergue et Henri Carton de Wiart,... \u00E0 Paris, le mardi 10 juillet 1934  [Texte imprim\u00E9]  / Discours de M. Emile Borel,...  ; Institut de France / Paris : Gauthier-Villars , 1937"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/096719028/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Eloge du Comte Henry Carton de Wiart  [Texte imprimé]  : séance publique annuelle du lundi 8 décembre 1952  / François Albert-Buisson,...  ; Institut de France, Académie des sciences morales et politiques / Paris : Institut de France , 1952"" .",METADONNEES,,http://www.sudoc.fr/096719028/id,http://purl.org/dc/terms/bibliographicCitation,"""Eloge du Comte Henry Carton de Wiart  [Texte imprim\u00E9]  : s\u00E9ance publique annuelle du lundi 8 d\u00E9cembre 1952  / Fran\u00E7ois Albert-Buisson,...  ; Institut de France, Acad\u00E9mie des sciences morales et politiques / Paris : Institut de France , 1952"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/158233123/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Cérémonie organisée en l'honneur de MM. Gaston Doumergue et Henri Carton de Wiart,... à Paris, le mardi 10 juillet 1934  [Texte imprimé]  / Discours de M. Emile Borel,...  ; Institut de France / Paris : Palais de l'Institut , 1934"" .",METADONNEES,,http://www.sudoc.fr/158233123/id,http://purl.org/dc/terms/bibliographicCitation,"""C\u00E9r\u00E9monie organis\u00E9e en l'honneur de MM. Gaston Doumergue et Henri Carton de Wiart,... \u00E0 Paris, le mardi 10 juillet 1934  [Texte imprim\u00E9]  / Discours de M. Emile Borel,...  ; Institut de France / Paris : Palais de l'Institut , 1934"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/021764239/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,directeur de publication,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/021764239/id,http://id.loc.gov/vocabulary/relators/pbd,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Deuxième Congrès international de droit pénal, Bucarest (6-12 octobre 1929)  [Texte imprimé]  / Actes du Congrès publiés sous la direction du comte Carton de Wiart ... par J.-A. Roux ... / Paris : Librairie des Juris-classeurs--Éditions Godde , 1930"" .",METADONNEES,,http://www.sudoc.fr/021764239/id,http://purl.org/dc/terms/bibliographicCitation,"""Deuxi\u00E8me Congr\u00E8s international de droit p\u00E9nal, Bucarest (6-12 octobre 1929)  [Texte imprim\u00E9]  / Actes du Congr\u00E8s publi\u00E9s sous la direction du comte Carton de Wiart ... par J.-A. Roux ... / Paris : Librairie des Juris-classeurs--\u00C9ditions Godde , 1930"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/220617155/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,contributeur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/220617155/id,http://id.loc.gov/vocabulary/relators/clb,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Un siècle de l'Église catholique en Belgique, 1830-1930  : ouvrage commémoratif  / publié sous la direction de Camille Joset,...  ; avec la collaboration de Mm. le comte Carton de Wiart [et al.] / Paris : Éditions Jos. Vermaut , [1930]"" .",METADONNEES,,http://www.sudoc.fr/220617155/id,http://purl.org/dc/terms/bibliographicCitation,"""Un si\u00E8cle de l'\u00C9glise catholique en Belgique, 1830-1930  : ouvrage comm\u00E9moratif  / publi\u00E9 sous la direction de Camille Joset,...  ; avec la collaboration de Mm. le comte Carton de Wiart [et al.] / Paris : \u00C9ditions Jos. Vermaut , [1930]"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/010957545/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/010957545/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""L'antireligion communiste (1917-1937)  [Texte imprimé]  / Jacques de Bivort de La Saudée  ; préface par le Comte Carton de Wiart Ministre d'État / Paris : Ed. Spes , impr. 1937"" .",METADONNEES,,http://www.sudoc.fr/010957545/id,http://purl.org/dc/terms/bibliographicCitation,"""L'antireligion communiste (1917-1937)  [Texte imprim\u00E9]  / Jacques de Bivort de La Saud\u00E9e  ; pr\u00E9face par le Comte Carton de Wiart Ministre d'\u00C9tat / Paris : Ed. Spes , impr. 1937"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/003368971/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/003368971/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Le cardinal Mercier, archevêque de Malines (1851-1926)  [Texte imprimé]  / Mgr Laveille,...  ; préf. de M. Carton de Wiart,... / Nouv. éd. rev. et augm / Paris : Éd. Spes , 1927"" .",METADONNEES,,http://www.sudoc.fr/003368971/id,http://purl.org/dc/terms/bibliographicCitation,"""Le cardinal Mercier, archev\u00EAque de Malines (1851-1926)  [Texte imprim\u00E9]  / Mgr Laveille,...  ; pr\u00E9f. de M. Carton de Wiart,... / Nouv. \u00E9d. rev. et augm / Paris : \u00C9d. Spes , 1927"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/128102829/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/128102829/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""La Fronde de David  [Texte imprimé]  / Jules Joseph Leclercq  ; Lettre préf. de M. Henri Carton du Wiart / Paris : Perrin , 1920"" .",METADONNEES,,http://www.sudoc.fr/128102829/id,http://purl.org/dc/terms/bibliographicCitation,"""La Fronde de David  [Texte imprim\u00E9]  / Jules Joseph Leclercq  ; Lettre pr\u00E9f. de M. Henri Carton du Wiart / Paris : Perrin , 1920"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/154504459/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/154504459/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Belgique loyale, héroïque et malheureuse  [Texte imprimé]  / Joseph Boubée  ; Lettre-préface de M. H. Carton de Wiart,... / Paris : Plon-Nourrit et Cie , 1916"" .",METADONNEES,,http://www.sudoc.fr/154504459/id,http://purl.org/dc/terms/bibliographicCitation,"""Belgique loyale, h\u00E9ro\u00EFque et malheureuse  [Texte imprim\u00E9]  / Joseph Boub\u00E9e  ; Lettre-pr\u00E9face de M. H. Carton de Wiart,... / Paris : Plon-Nourrit et Cie , 1916"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/118161946/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/118161946/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Une expérience d'union économique  [Texte imprimé]  : bilan de dix années d'union économique Belgo-Luxembourgeoise  / Luc Hommel  ; préface du Henry Carton de Wiart  ; introduction par Albert Calmes / Louvain : Éditions de la Société d'études morales, sociales et juridiques , [1933]"" .",METADONNEES,,http://www.sudoc.fr/118161946/id,http://purl.org/dc/terms/bibliographicCitation,"""Une exp\u00E9rience d'union \u00E9conomique  [Texte imprim\u00E9]  : bilan de dix ann\u00E9es d'union \u00E9conomique Belgo-Luxembourgeoise  / Luc Hommel  ; pr\u00E9face du Henry Carton de Wiart  ; introduction par Albert Calmes / Louvain : \u00C9ditions de la Soci\u00E9t\u00E9 d'\u00E9tudes morales, sociales et juridiques , [1933]"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/090180372/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/090180372/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""La Belgique loyale, héroïque et malheureuse  / Joseph Boubée  ; lettre-préface de M.H. Carton de Wiart,... / 3e édition / Paris : Plon-Nourrit et Cie , 1916"" .",METADONNEES,,http://www.sudoc.fr/090180372/id,http://purl.org/dc/terms/bibliographicCitation,"""La Belgique loyale, h\u00E9ro\u00EFque et malheureuse  / Joseph Boub\u00E9e  ; lettre-pr\u00E9face de M.H. Carton de Wiart,... / 3e \u00E9dition / Paris : Plon-Nourrit et Cie , 1916"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/129507547/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/129507547/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Le Cardinal Mercier  [Texte imprimé]  : archevêque de Maline (1851-1926)  / Mgr Laveille, ...  ; Préface de M. Carton de Wiart, ... / Paris : éditions ""Spes"" , 1926"" .",METADONNEES,,http://www.sudoc.fr/129507547/id,http://purl.org/dc/terms/bibliographicCitation,"""Le Cardinal Mercier  [Texte imprim\u00E9]  : archev\u00EAque de Maline (1851-1926)  / Mgr Laveille, ...  ; Pr\u00E9face de M. Carton de Wiart, ... / Paris : \u00E9ditions \""Spes\"" , 1926"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/097189901/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/097189901/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Ce que les Belges de la Belgique envahie pensent de la séparation administrative  [Texte imprimé]  / avec un avant-propos de M. H. Carton de Wiart,... / Le Havre : édition du ""Bureau documentaire belge"" , 1917]"" .",METADONNEES,,http://www.sudoc.fr/097189901/id,http://purl.org/dc/terms/bibliographicCitation,"""Ce que les Belges de la Belgique envahie pensent de la s\u00E9paration administrative  [Texte imprim\u00E9]  / avec un avant-propos de M. H. Carton de Wiart,... / Le Havre : \u00E9dition du \""Bureau documentaire belge\"" , 1917]"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/168842505/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/168842505/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""La Belgique et la guerre  / par Georges Rency,...  ; préface par le Cte Carton de Wiart,... / Bruxelles : Henritels , 1924"" .",METADONNEES,,http://www.sudoc.fr/168842505/id,http://purl.org/dc/terms/bibliographicCitation,"""La Belgique et la guerre  / par Georges Rency,...  ; pr\u00E9face par le Cte Carton de Wiart,... / Bruxelles : Henritels , 1924"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/026618109/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/026618109/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Les barbares en Belgique  [Texte imprimé]  / Pierre Nothomb  ; avec une lettre-préface de M.H. Carton de Wiart,... / 3e édition / Paris : Perrin et Cie , 1915"" .",METADONNEES,,http://www.sudoc.fr/026618109/id,http://purl.org/dc/terms/bibliographicCitation,"""Les barbares en Belgique  [Texte imprim\u00E9]  / Pierre Nothomb  ; avec une lettre-pr\u00E9face de M.H. Carton de Wiart,... / 3e \u00E9dition / Paris : Perrin et Cie , 1915"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/078453860/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/078453860/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Les barbares en Belgique  [Texte imprimé]  / Pierre Nothomb  ; avec une lettre-préface de M. H. carton de Wiart / Septième édition / Paris : Perrin , 1915"" .",METADONNEES,,http://www.sudoc.fr/078453860/id,http://purl.org/dc/terms/bibliographicCitation,"""Les barbares en Belgique  [Texte imprim\u00E9]  / Pierre Nothomb  ; avec une lettre-pr\u00E9face de M. H. carton de Wiart / Septi\u00E8me \u00E9dition / Paris : Perrin , 1915"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/100664083/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/100664083/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Le Cardinal Mercier  : archevêque de Malines (1851-1926)  / Mgr Laveille  ; préface de M. Carton de Wiart / Nouvelle édition revue et augmentée / Paris : Editions Spes , 1929"" .",METADONNEES,,http://www.sudoc.fr/100664083/id,http://purl.org/dc/terms/bibliographicCitation,"""Le Cardinal Mercier  : archev\u00EAque de Malines (1851-1926)  / Mgr Laveille  ; pr\u00E9face de M. Carton de Wiart / Nouvelle \u00E9dition revue et augment\u00E9e / Paris : Editions Spes , 1929"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/087125366/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/087125366/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Les Barbares en Belgique  [Texte imprimé]  /  Avec une lettre-préface de... H. Carton de Wiart,...  / Pierre Nothomb / Paris : Perrin , 1915"" .",METADONNEES,,http://www.sudoc.fr/087125366/id,http://purl.org/dc/terms/bibliographicCitation,"""Les Barbares en Belgique  [Texte imprim\u00E9]  /  Avec une lettre-pr\u00E9face de... H. Carton de Wiart,...  / Pierre Nothomb / Paris : Perrin , 1915"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/153675101/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/153675101/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Les barbares en Belgique  [Texte imprimé]  / Pierre Nothomb  ; avec une lettre-préface de H. Carton de Wiart / Lausanne : sn , 1915"" .",METADONNEES,,http://www.sudoc.fr/153675101/id,http://purl.org/dc/terms/bibliographicCitation,"""Les barbares en Belgique  [Texte imprim\u00E9]  / Pierre Nothomb  ; avec une lettre-pr\u00E9face de H. Carton de Wiart / Lausanne : sn , 1915"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/125571089/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/125571089/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Luc Hommel... Une Expérience d'union économique, bilan de dix années d'union économique belgo-luxembourgeoise  / Préface du Comte Henry Carton de Wiart  ; Introduction par M. Albert Calmes / Louvain : Éditions de la Société d'études morales, sociales et juridiques , (1933)"" .",METADONNEES,,http://www.sudoc.fr/125571089/id,http://purl.org/dc/terms/bibliographicCitation,"""Luc Hommel... Une Exp\u00E9rience d'union \u00E9conomique, bilan de dix ann\u00E9es d'union \u00E9conomique belgo-luxembourgeoise  / Pr\u00E9face du Comte Henry Carton de Wiart  ; Introduction par M. Albert Calmes / Louvain : \u00C9ditions de la Soci\u00E9t\u00E9 d'\u00E9tudes morales, sociales et juridiques , (1933)"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/157465039/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/157465039/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""Sous la griffe, poèmes  [Texte imprimé]  / Marcel Vanderauwera  ; Lettre-préface de Henry Carton de Wiart, couverture de Albert Baertsoen / Bruxelles : Librairie moderne , 1918"" .",METADONNEES,,http://www.sudoc.fr/157465039/id,http://purl.org/dc/terms/bibliographicCitation,"""Sous la griffe, po\u00E8mes  [Texte imprim\u00E9]  / Marcel Vanderauwera  ; Lettre-pr\u00E9face de Henry Carton de Wiart, couverture de Albert Baertsoen / Bruxelles : Librairie moderne , 1918"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/119307995/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/119307995/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,≌愠䉥汧楱略⁬潹慬攬⁨쎃슩牯槃跂迃賂衱略⁥琠浡汨敵牥畳攠 ⁊潳数栠䉯畢쎃슩攠※⁬整瑲攭灲쎃슩晡捥⁤攠䴮⁈⸠䍡牴潮⁤攠坩慲琠⼠㑥⃃菂ꥤ楴楯渠⼠偡物猠㨠孳⹮⹝‬‱㤱㘢‮,METADONNEES,,http://www.sudoc.fr/119307995/id,http://purl.org/dc/terms/bibliographicCitation,"""La Belgique loyale, h\u00C3\u00A9roi\u00CD\u008F\u00CC\u0088que et malheureuse  / Joseph Boub\u00C3\u00A9e  ; lettre-pr\u00C3\u00A9face de M. H. Carton de Wiart / 4e \u00C3\u00A9dition / Paris : [s.n.] , 1916"" ."
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,est un,Document,CATEGORISATION,,http://www.sudoc.fr/111022312/id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Document
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,auteur,Henry Carton de Wiart,PRODUCTION,,http://www.sudoc.fr/111022312/id,http://id.loc.gov/vocabulary/relators/aui,http://www.idref.fr/028885449/id
idref-sudoc,https://www.idref.fr/028885449,Henry Carton de Wiart,citation bibliographique,"""La lutte moderne contre le crime  [Texte imprimé]  / Léon Rabinowicz  ; préface du Comte Carton de Wiart,...  ; Lettre de Paul Emile Janson,... / Bruxelles : F. Larcier , 1930"" .",METADONNEES,,http://www.sudoc.fr/111022312/id,http://purl.org/dc/terms/bibliographicCitation,"""La lutte moderne contre le crime  [Texte imprim\u00E9]  / L\u00E9on Rabinowicz  ; pr\u00E9face du Comte Carton de Wiart,...  ; Lettre de Paul Emile Janson,... / Bruxelles : F. Larcier , 1930"" ."
