"s","p","o"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_whole_100003553"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wikicat_Belgian_Ministers_of_State"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_count_109969218"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Carton"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henry Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henry Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Картон де Виар, Анри"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Анрі Картон де Віарт"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henricus Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Картон де Виар"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","亨利·卡尔东·德维亚尔"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","アンリ・カルトン・ɥ・ヴィアール"
